trial,label,status,solver_success,mission_success,mission_success_slack,raw_path_ok,path_ok_slack,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
7,rand_06,PASS_RAW,1,1,1,1,1,0.0666666666667,39.9040125401,1.47796759406,4.85692408575,593.781668764,4049293.38736,-697200.588188,-5698361.67392,2780848.66028
7,rand_06,PASS_RAW,1,1,1,1,1,0.07,41.8992131671,1.72098918999,5.39147747191,613.105772773,4003035.2562,-696189.040279,-5698972.97232,2781075.66354
7,rand_06,PASS_RAW,1,1,1,1,1,0.0733333333333,43.8944137941,1.9927129753,5.95595641453,632.870960031,3957682.19127,-695152.113563,-5699614.70153,2781314.88619
7,rand_06,PASS_RAW,1,1,1,1,1,0.0766666666667,45.8896144211,2.29130843493,6.54069354435,646.333124445,3923400.24064,-694090.543776,-5700277.97577,2781562.13619
7,rand_06,PASS_RAW,1,1,1,1,1,0.08,47.8848150481,2.61494448914,7.13745206936,660.670125248,3888911.35916,-693005.233877,-5700955.18914,2781813.84998
7,rand_06,PASS_RAW,1,1,1,1,1,0.0833333333333,49.8800156751,2.96532456114,7.74641902331,675.951852246,3854120.21569,-691894.503165,-5701646.73045,2782070.0503
7,rand_06,PASS_RAW,1,1,1,1,1,0.0866666666667,51.8752163021,3.34440914912,8.36791944241,692.243784679,3818957.93424,-690756.428492,-5702353.14418,2782330.81134
7,rand_06,PASS_RAW,1,1,1,1,1,0.09,53.8704169291,3.75504316366,9.00264263682,709.629883013,3783344.32815,-689588.24149,-5703075.41299,2782596.33713
7,rand_06,PASS_RAW,1,1,1,1,1,0.0933333333333,55.8656175561,4.19790091498,9.65041296603,728.188327579,3747185.55968,-688389.249809,-5703813.46796,2782866.52298
7,rand_06,PASS_RAW,1,1,1,1,1,0.0966666666667,57.8608181831,4.67719150837,10.3125087149,748.081439524,3710344.44114,-687155.383912,-5704568.99143,2783141.78424
7,rand_06,PASS_RAW,1,1,1,1,1,0.1,59.8560188101,5.19492835801,10.9894639431,769.763597662,3672283.28714,-685884.688986,-5705342.71914,2783422.28142
7,rand_06,PASS_RAW,1,1,1,1,1,0.103333333333,61.8512194372,5.75617736282,11.6852088062,796.439572767,3629199.2366,-684572.540453,-5706138.82277,2783709.5661
7,rand_06,PASS_RAW,1,1,1,1,1,0.106666666667,63.8464200642,6.36929261692,12.4058127632,825.946227724,3583900.98487,-683211.260211,-5706963.81019,2784006.01722
7,rand_06,PASS_RAW,1,1,1,1,1,0.11,65.8416206912,7.03519393507,13.1514448301,857.257947481,3537629.86483,-681799.939156,-5707817.94722,2784311.66679
7,rand_06,PASS_RAW,1,1,1,1,1,0.113333333333,67.8368213182,7.75967181723,13.9237728684,889.48964544,3491344.95899,-680332.94956,-5708703.4552,2784627.03327
7,rand_06,PASS_RAW,1,1,1,1,1,0.116666666667,69.8320219452,8.54405909365,14.7224209899,922.610870917,3445060.11933,-678808.888487,-5709620.14832,2784951.88688
7,rand_06,PASS_RAW,1,1,1,1,1,0.12,71.8272225722,9.38930511411,15.546945889,956.598715332,3398775.35929,-677226.727676,-5710567.72933,2785285.98075
7,rand_06,PASS_RAW,1,1,1,1,1,0.123333333333,73.8224231992,10.2982207243,16.3977359287,991.462773115,3352490.68647,-675583.663136,-5711546.87857,2785629.36637
7,rand_06,PASS_RAW,1,1,1,1,1,0.126666666667,75.8176238262,11.272671968,17.2748060781,1027.20590245,3306206.10711,-673877.792321,-5712557.81853,2785981.96191
7,rand_06,PASS_RAW,1,1,1,1,1,0.13,77.8128244532,12.3137986026,18.1779498743,1063.82499421,3259921.62674,-672107.913666,-5713600.47892,2786343.61251
7,rand_06,PASS_RAW,1,1,1,1,1,0.133333333333,79.8080250802,13.4236747041,19.1073895514,1101.33004967,3213637.2521,-670271.932653,-5714675.28749,2786714.31624
7,rand_06,PASS_RAW,1,1,1,1,1,0.136666666667,81.8032257072,14.6050084392,20.0636369652,1139.73935662,3167352.99128,-668367.14501,-5715783.00558,2787094.17219
7,rand_06,PASS_RAW,1,1,1,1,1,0.14,83.7984263342,15.8581620298,21.046397193,1179.03627405,3121068.84479,-666393.110113,-5716923.37637,2787483.00929
7,rand_06,PASS_RAW,1,1,1,1,1,0.143333333333,85.7936269612,17.1870383878,22.0567620316,1219.24868672,3074784.81717,-664345.976854,-5718097.81896,2787881.13122
7,rand_06,PASS_RAW,1,1,1,1,1,0.146666666667,87.7888275882,18.5909475104,23.0942289556,1260.36080797,3028500.91275,-662226.332403,-5719305.75341,2788288.31132
7,rand_06,PASS_RAW,1,1,1,1,1,0.15,89.7840282152,20.0718810626,24.1593547589,1302.3801399,2982217.13242,-660032.180863,-5720547.8764,2788704.68599
7,rand_06,PASS_RAW,1,1,1,1,1,0.153333333333,91.7792288422,21.63322331,25.253266718,1345.33576476,2935933.48044,-657760.178807,-5721825.55839,2789130.58423
7,rand_06,PASS_RAW,1,1,1,1,1,0.156666666667,93.7744294692,23.2759202259,26.3763077828,1389.23192431,2889649.95978,-655409.346629,-5723139.16493,2789566.08169
7,rand_06,PASS_RAW,1,1,1,1,1,0.16,95.7696300962,25.0015271018,27.5291253627,1434.08027491,2843366.57175,-652978.119529,-5724489.40422,2790011.36182
