phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,127,1,7.36414295085e-07,8.06977288247e-09,0,4.7684655612e-12,633.362544202,3.96887895773,-34366.6374558,-0.0311210422702
boost,128,1,7.37680979142e-07,8.11364420768e-09,2.32830643654e-10,4.71094329719e-12,562.178077287,3.96885235272,-34437.8219227,-0.0311476472808
boost,129,1,7.39315755197e-07,8.15094690348e-09,2.32830643654e-10,4.65243921675e-12,496.652838055,3.96882447332,-34503.3471619,-0.0311755266788
boost,130,1,7.40279896317e-07,8.18260770246e-09,2.32830643654e-10,4.59368504935e-12,436.649916666,3.96879524463,-34563.3500833,-0.0312047553663
boost,131,1,7.41469290716e-07,8.20844490885e-09,0,4.53398713947e-12,381.992819391,3.96876458003,-34618.0071806,-0.0312354199739
boost,132,1,7.41665852987e-07,8.22823952338e-09,2.32830643654e-10,4.47419558465e-12,332.471150199,3.96873238173,-34667.5288498,-0.0312676182725
boost,133,1,7.43855546728e-07,8.24444141769e-09,0,4.41417010572e-12,287.846294405,3.96869854078,-34712.1537056,-0.031301459221
boost,134,1,7.53629392755e-07,3.9030792805e-07,2.32830643654e-10,1.51458637555e-10,247.857016614,3.96866293695,-34752.1429834,-0.0313370630509
boost,135,1,7.49249020322e-07,8.13393953891e-09,2.32830643654e-10,4.23839675702e-12,212.115525392,3.96862543917,-34787.8844746,-0.0313745608345
boost,136,1,7.49159153014e-07,8.14358148466e-09,2.32830643654e-10,4.1832558013e-12,179.798993209,3.96858590114,-34820.2010068,-0.031414098865
boost,137,1,7.48511556316e-07,8.15306467649e-09,0,4.12905714829e-12,151.619172676,3.96854417556,-34848.3808273,-0.0314558244444
boost,138,1,7.48949637836e-07,8.16130746714e-09,0,4.07602133055e-12,127.178894379,3.9685001262,-34872.8211056,-0.0314998738041
boost,139,1,7.4680813675e-07,8.15515555563e-09,0,4.01649277674e-12,106.098320823,3.96691015399,-34893.9016792,-0.0330898460119
ship,0,1,6.09311253441e-06,1.62798775886e-07,2.32830643654e-10,7.09017400846e-11,88.0165972481,1.16394010573,-34911.9834028,-2.83605989427
ship,1,1,4.64366194934e-06,1.33483528692e-06,0,4.62444836374e-10,47.1463086525,1.17549136994,-34952.8536913,-2.82450863006
ship,2,1,3.71983090332e-06,1.10502172351e-07,2.32830643654e-10,4.5077054019e-11,24.5227347236,1.18722707463,-34975.4772653,-2.81277292537
ship,3,1,2.30225278114e-06,7.17819783216e-08,0,2.75609521501e-11,12.2589472433,1.19917070807,-34987.7410528,-2.80082929193
ship,4,1,1.73066932971e-06,1.76284651731e-08,0,6.88657051768e-12,6.10848510883,1.21134205053,-34993.8915149,-2.78865794947
ship,5,1,1.63455440739e-06,1.04331201895e-08,4.65661287308e-10,3.91941947696e-12,3.02388408869,1.22375489912,-34996.9761159,-2.77624510088
ship,6,1,1.33842884475e-06,3.58777823297e-09,0,1.89203301352e-12,1.52183685359,1.2364206237,-34998.4781631,-2.7635793763
ship,7,1,1.3228797098e-06,9.64684561944e-10,0,1.90827477497e-12,0.780276461583,1.24934905765,-34999.2197235,-2.75065094235
ship,8,1,1.34174787116e-06,2.60954838736e-09,2.32830643654e-10,1.985328599e-12,0.399532722332,1.26254930685,-34999.6004673,-2.73745069315
ship,9,1,1.33563282497e-06,2.57662153438e-09,2.32830643654e-10,2.01236982453e-12,0.2146846259,1.27603052159,-34999.7853154,-2.72396947841
ship,10,1,1.36772699373e-06,4.54394615812e-09,0,2.76937105928e-12,0.127960722394,1.28980202935,-34999.8720393,-2.71019797065
ship,11,1,1.41924382533e-06,4.62407375692e-09,2.32830643654e-10,2.87231716616e-12,0.0823756611089,1.30387337426,-34999.9176243,-2.69612662574
ship,12,1,1.47380801095e-06,5.07522536635e-09,2.32830643654e-10,3.10146719718e-12,0.0564654370091,1.31825444794,-34999.9435346,-2.68174555206
ship,13,1,1.53469587248e-06,5.39436428876e-09,0,3.28584030662e-12,0.0405869694411,1.3329555413,-34999.959413,-2.6670444587
ship,14,1,1.59775930657e-06,5.73845227683e-09,2.32830643654e-10,3.48119290384e-12,0.0302637459928,1.34798737982,-34999.9697363,-2.65201262018
ship,15,1,1.66641900277e-06,6.04729633355e-09,2.32830643654e-10,3.6689971986e-12,0.0232356356336,1.3633611509,-34999.9767644,-2.6366388491
ship,16,1,1.73872875475e-06,6.40677788408e-09,2.32830643654e-10,3.87899801435e-12,0.0182704719303,1.37908852822,-34999.9817295,-2.62091147178
ship,17,1,1.81574455311e-06,6.77816347863e-09,0,4.09804700464e-12,0.0146542210333,1.39518169468,-34999.9853458,-2.60481830532
ship,18,1,1.89644336821e-06,7.10177741303e-09,2.32830643654e-10,4.30729075644e-12,0.0119522672854,1.41165336416,-34999.9880477,-2.58834663584
ship,19,1,1.98459690394e-06,7.47163053373e-09,2.32830643654e-10,4.5397570922e-12,0.009889780961,1.42851680153,-34999.9901102,-2.57148319847
ship,20,1,2.07554574709e-06,8.1031632097e-09,3.49245965481e-10,4.86412188764e-12,0.00828531034628,1.44578583959,-34999.9917147,-2.55421416041
ship,21,1,2.1723648681e-06,8.71383861336e-09,2.32830643654e-10,5.18831438736e-12,0.00701613751427,1.46347489096,-34999.9929839,-2.53652510904
