n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
192,0.921875,0.0,0.5625,0.4791666666666667,0.96875
193,0.9222797927461139,0.0,0.5647668393782384,0.48186528497409326,0.9689119170984456
194,0.9226804123711341,0.0,0.5670103092783505,0.4845360824742268,0.9690721649484536
195,0.9230769230769231,0.0,0.5692307692307692,0.48717948717948717,0.9692307692307692
196,0.923469387755102,0.0,0.5663265306122449,0.4846938775510204,0.9693877551020408
197,0.9238578680203046,0.0,0.5634517766497462,0.4873096446700508,0.9695431472081218
198,0.9242424242424242,0.0,0.5606060606060606,0.48484848484848486,0.9696969696969697
199,0.9246231155778895,0.0,0.5628140703517588,0.4824120603015075,0.9698492462311558
200,0.925,0.0,0.565,0.485,0.97
201,0.9253731343283582,0.0,0.5671641791044776,0.48756218905472637,0.9701492537313433
202,0.9257425742574258,0.0,0.5643564356435643,0.48514851485148514,0.9702970297029703
203,0.9261083743842364,0.0,0.5665024630541872,0.4827586206896552,0.9704433497536946
204,0.9264705882352942,0.0,0.5686274509803921,0.4852941176470588,0.9705882352941176
205,0.926829268292683,0.0,0.5707317073170731,0.48292682926829267,0.9707317073170731
206,0.9271844660194175,0.0,0.5679611650485437,0.48058252427184467,0.970873786407767
207,0.927536231884058,0.0,0.5700483091787439,0.4782608695652174,0.9710144927536232
208,0.9278846153846154,0.0,0.5673076923076923,0.47596153846153844,0.9711538461538461
209,0.9282296650717703,0.0,0.5645933014354066,0.47368421052631576,0.9712918660287081
210,0.9285714285714286,0.0,0.5666666666666667,0.47619047619047616,0.9714285714285714
211,0.9289099526066351,0.0,0.5687203791469194,0.47393364928909953,0.9715639810426541
212,0.9292452830188679,0.0,0.5707547169811321,0.47641509433962265,0.9716981132075472
213,0.9295774647887324,0.0,0.5727699530516432,0.47417840375586856,0.971830985915493
214,0.9299065420560748,0.0,0.5747663551401869,0.4719626168224299,0.9719626168224299
215,0.9302325581395349,0.0,0.5720930232558139,0.4697674418604651,0.9720930232558139
216,0.9305555555555556,0.0,0.5740740740740741,0.4722222222222222,0.9722222222222222
217,0.9308755760368663,0.0,0.576036866359447,0.4700460829493088,0.9723502304147466
218,0.9311926605504587,0.0,0.5779816513761468,0.4724770642201835,0.9724770642201835
219,0.9315068493150684,0.0,0.5799086757990868,0.4703196347031963,0.9726027397260274
220,0.9318181818181818,0.0,0.5772727272727273,0.4727272727272727,0.9727272727272728
221,0.9276018099547512,0.0,0.579185520361991,0.4751131221719457,0.9728506787330317
222,0.9279279279279279,0.0,0.581081081081081,0.4774774774774775,0.972972972972973
223,0.9282511210762332,0.0,0.57847533632287,0.4798206278026906,0.9730941704035875
224,0.9241071428571429,0.0,0.5803571428571429,0.47767857142857145,0.9732142857142857
225,0.9244444444444444,0.0,0.5777777777777777,0.48,0.9733333333333334
226,0.9247787610619469,0.0,0.5752212389380531,0.4823008849557522,0.9734513274336283
227,0.9251101321585903,0.0,0.5770925110132159,0.4845814977973568,0.973568281938326
228,0.9254385964912281,0.0,0.5745614035087719,0.4868421052631579,0.9736842105263158
229,0.925764192139738,0.0,0.5764192139737991,0.4890829694323144,0.9737991266375546
230,0.9260869565217391,0.0,0.5782608695652174,0.49130434782608695,0.9739130434782609
231,0.9264069264069265,0.0,0.5757575757575758,0.4935064935064935,0.974025974025974
232,0.9267241379310345,0.0,0.5775862068965517,0.4956896551724138,0.9741379310344828
233,0.927038626609442,0.0,0.5793991416309013,0.4978540772532189,0.9742489270386266
234,0.9273504273504274,0.0,0.5811965811965812,0.5,0.9743589743589743
235,0.9276595744680851,0.0,0.5829787234042553,0.4978723404255319,0.9744680851063829
236,0.9279661016949152,0.0,0.5847457627118644,0.4957627118644068,0.9745762711864406
237,0.9282700421940928,0.0,0.5864978902953587,0.4978902953586498,0.9746835443037974
238,0.9285714285714286,0.0,0.5840336134453782,0.5,0.9747899159663865
239,0.9288702928870293,0.0,0.5857740585774058,0.502092050209205,0.9748953974895398
240,0.9291666666666667,0.0,0.5833333333333334,0.5041666666666667,0.975
241,0.9294605809128631,0.0,0.5809128630705395,0.5020746887966805,0.975103734439834
