run,thrust_multiplier,isp_multiplier,density_multiplier,terminal_valid,orbit_ok,fuel_ok,fuel_margin_kg,trajectory_valid,max_q_pa,max_g,orbit_fail,fuel_fail,q_violation,g_violation,any_failure
390,1.00512277791992,1.0030937985112534,0.960496804727071,1,0,1,214405.94889053493,1,33919.454755730556,4.036268880081619,1,0,0,1,1
391,1.0298295889051368,1.0039698755553361,1.1233493075761363,1,0,1,191060.38537047873,1,42379.279042310234,4.358643829585893,1,0,1,1,1
392,1.0026979761248676,0.9991422271546299,0.9987724939228267,1,0,1,212895.19088111172,1,35298.886035089665,4.039776520540686,1,0,1,1,1
393,0.9847759293335512,1.011884368692477,1.15566842573049,1,0,1,242746.34874620807,1,41927.93163989917,3.7829380325975426,1,0,1,0,1
394,0.9829182123344379,0.9916973898879836,1.2075267839838935,1,0,1,225103.06196830835,1,42354.973329125416,3.8770551871763157,1,0,1,0,1
395,0.996317248491782,0.9981310877058003,0.9931580466059486,1,0,1,218183.01360705675,1,34795.597063872425,3.9732523834024236,1,0,0,0,1
396,1.0034870742847564,1.005899008859483,0.9548556046782783,1,1,1,218753.9635444673,1,33627.68781138624,3.9987992257107554,0,0,0,0,0
397,0.9978769090887178,1.0040021363998142,0.8083401296026649,1,0,1,222396.22985230165,1,28599.190339212324,3.9548680379326897,1,0,0,0,1
398,1.0475742277119098,1.0069596327049506,1.1805614597216267,1,0,1,176722.99402328237,1,46369.86830209035,4.586621089561083,1,0,1,1,1
399,1.0030189063213366,0.9891279798853418,0.9963979319294431,1,0,1,202582.1629523153,1,36043.33553197331,4.134370219698183,1,0,1,1,1
400,0.9989298519258273,1.0212707553142164,0.9454911909050532,1,0,1,237912.45024526742,1,34312.14719496454,3.867210456383632,1,0,0,0,1
401,0.997951082439372,0.9932420340690286,1.2053243437517402,1,0,1,211732.32137743116,1,42375.95926750683,4.030701756067244,1,0,1,1,1
402,0.9774898994319587,0.9868829135670325,0.9924907316870916,1,0,1,225757.3290679347,1,34847.3808951954,3.8527491611487816,1,0,0,0,1
403,0.9754991500902589,1.0025217615655433,0.933326123053781,1,0,1,242908.20280791033,1,33808.29566361568,3.747433756956621,1,0,0,0,1
404,1.0507081112313592,1.0009540026588655,1.0310420656666468,1,0,1,167503.67506442353,1,41420.60962941038,4.704627689857615,1,0,1,1,1
405,1.0013102916671766,0.9934862330339252,1.0019461189513656,1,0,1,208649.39651837974,1,35711.78297086864,4.071725450781861,1,0,1,1,1
406,0.9850055017420206,0.9995743914238718,1.030433397312747,1,0,1,230731.71853748558,1,36613.20326113782,3.8534254436279363,1,0,1,0,1
407,0.9883713413502417,1.0031970629153275,1.050330469393386,1,0,1,230931.7217270973,1,37391.554856836134,3.8654866449448813,1,0,1,0,1
408,0.9909055486531644,0.9915712515724586,0.9001920352403447,1,0,1,217055.85678867478,1,31433.112769566273,3.95870276722363,1,0,0,0,1
409,1.0300934695269595,1.0027129344386982,0.9091708788322098,1,0,1,189536.84644938982,1,34567.25013559976,4.375279090228233,1,0,0,1,1
410,1.013213211560347,1.0004099235531818,1.1050663783298973,1,0,1,203807.40597269643,1,40089.357380906695,4.1648475081999905,1,0,1,1,1
411,1.003475584860607,0.9910541259868808,1.0640036440084322,1,0,1,204067.41245891852,1,38324.23035120637,4.122369729673015,1,0,1,1,1
412,1.0148964150870188,0.9965356405650196,1.1133227499686404,1,0,1,198273.1308658637,1,40917.99176195805,4.224568714835886,1,0,1,1,1
413,0.9686201872180966,0.9996603926174501,1.1861776554111756,1,0,1,246937.19228357723,1,43043.07338111017,3.6961208269768924,1,0,1,0,1
414,0.998400986692767,0.9882105539565601,0.8069464617708025,1,0,1,206252.54374546127,1,28967.512380654673,4.081437964131329,1,0,0,1,1
415,1.0091397321125959,1.004112805306701,1.0069002900070463,1,0,1,211471.32034393452,1,35872.349815923255,4.07832420147983,1,0,1,1,1
416,0.9828710334033637,1.0027494580798397,1.037545894540282,1,0,1,235894.47724200966,1,37170.1454039439,3.815215841925596,1,0,1,0,1
417,0.9943025911263164,1.0147278232602237,0.947377715469365,1,0,1,236194.36423717282,1,34190.67953682003,3.8589707838526213,1,0,0,0,1
418,1.0302845200622708,0.9839984821245042,0.9663789148756279,1,0,1,170128.04300382588,1,38106.20821218844,4.583593893336748,1,0,1,1,1
419,1.0009975968855582,1.0009469591754605,0.9488962701991135,1,1,1,216345.76682208676,1,33300.75247034583,4.003517475409044,0,0,0,1,1
420,1.003490521575519,0.9984747244600308,0.8923572857315947,1,0,1,211454.3638464975,1,31730.45053804647,4.0556724180048525,1,0,0,1,1
421,0.996903587783404,1.0099019610270377,0.864071440838127,1,0,1,229055.42750558938,1,30868.518145901082,3.911191077228731,1,0,0,0,1
422,1.0089268241713674,1.0193044584380722,0.9890908013075739,1,0,1,226409.73789739108,1,35335.77444507839,3.974053378755954,1,0,1,0,1
423,1.0323352120510498,1.0082339303366321,1.0373006159847973,1,0,1,192883.06851467554,1,39131.18815819116,4.350827470011932,1,0,1,1,1
424,0.9633357263282801,1.002323526683277,1.1759943410739044,1,0,1,254655.2282999163,1,43292.00385510714,3.6334322632681366,1,0,1,0,1
425,0.9839651942632271,1.0166899320615463,0.9753166062339963,1,0,1,248055.36079757637,1,35829.22035697071,3.7514125904483646,1,0,1,0,1
426,1.0089145834256514,0.9887299645589553,0.9463111695898982,1,0,1,196315.4870826815,1,34886.04414027097,4.218561404118873,1,0,0,1,1
427,0.9785930599016064,0.9967313790140065,1.1738383552308234,1,0,1,234294.93864957854,1,41767.384002511986,3.8066020953540485,1,0,1,0,1
428,1.0373437962845768,0.994644031052615,1.0383668711314733,1,0,1,174169.5905821526,1,40791.69170421708,4.569880424265211,1,0,1,1,1
429,1.040360445322965,0.994453823486931,1.0508489250094042,1,0,1,170989.7714666244,1,41609.48292737541,4.618704235745694,1,0,1,1,1
430,0.9735444616351433,1.0087224199904326,0.8388094326798495,1,0,1,250697.61251997115,1,30882.587602471554,3.6976827451727243,1,0,0,0,1
431,0.9955192989878424,1.0004640416915733,1.3365806843528363,1,0,1,221256.98852809897,1,46814.660742222506,3.9498643652816785,1,0,1,0,1
432,1.022990658119562,0.9925572714449834,1.1141330583394684,1,0,1,186236.6522816819,1,42232.32762137821,4.3787871885036935,1,0,1,1,1
