run,final_altitude_km,final_velocity_m_s,success
418,250.59853390336596,7198.890579442798,0
419,363.8447694735313,7500.052316965689,0
420,469.293326399914,7803.102634536372,0
421,421.1749646545062,7662.61756856675,1
422,533.4096626012605,8014.24256287039,0
423,501.3854825577009,7923.012317475291,0
424,252.84210116922762,7202.610730988074,0
425,334.3165327203758,7413.608782808057,0
426,418.0928329330506,7645.440073278579,1
427,431.8516065046191,7678.1962356453105,0
428,574.4593926513559,8108.327753276283,0
429,450.68331854871474,7739.123460844395,0
430,308.97895923824234,7348.616652199506,0
431,370.00531912705674,7513.09590089899,0
432,359.97367717547155,7486.772819977591,0
433,541.023861701902,8035.675985478725,0
434,440.9576883219378,7718.231501453101,0
435,430.05148791710565,7685.328531349273,0
436,439.02919344684295,7707.039429660745,0
437,422.5761475751251,7670.374782216746,1
438,411.67154520475214,7627.65213515965,0
439,460.1882286886396,7759.652423144804,0
440,395.7945210154988,7588.792810280162,0
441,354.4340025009634,7462.429578524983,0
442,404.03448142485877,7617.036935472353,0
443,317.9608262177762,7369.464869081484,0
444,352.08502524342856,7473.500374716901,0
445,619.4870325064799,8306.041003739541,0
446,460.0254038256891,7767.10476493747,0
447,249.01981009264944,7195.367666948063,0
448,653.40333793467,8381.5812631906,0
449,356.4287562888674,7476.552459785362,0
450,539.9569575385786,8021.317982855316,0
451,499.64498116608337,7899.280218301477,0
452,457.0250509042265,7770.382008034731,0
453,492.9351159631684,7883.139735112026,0
454,326.4137591399029,7392.501983651298,0
455,477.69501593123005,7832.367551500343,0
456,534.6982162693944,8000.933382166224,0
457,311.3416626929194,7351.182305544632,0
458,527.7048746314711,7991.354619215323,0
459,351.96401707392744,7464.435518983439,0
460,506.0423033566419,7926.447548247898,0
461,432.35066397345344,7687.975550197676,0
462,296.5926442799261,7313.728812195018,0
463,402.76706494706406,7610.312736191547,0
464,448.5562966938531,7750.991037824373,0
465,285.51083979622183,7295.085076960808,0
466,286.5108719967576,7289.818671423593,0
467,477.2689568319432,7835.040561415468,0
468,434.44851162989346,7703.965276847491,0
469,409.84028861653155,7635.47370185908,0
470,352.50957756118476,7472.372851505553,0
471,175.7342387004001,7019.543676881556,0
472,322.01626459021867,7385.419927560983,0
473,382.8327847279739,7554.187892410392,0
474,429.9243749255724,7694.420872807533,0
475,520.9030866600164,7952.360332338192,0
476,472.2902632220639,7813.051775339306,0
477,355.9647097306,7469.360291019365,0
478,406.3009465767955,7621.115143549554,0
479,321.7037250258252,7379.929211320407,0
480,402.16531739815974,7612.986395802666,0
481,338.07961561244076,7422.426045270477,0
482,542.9771167772403,8031.179957266195,0
483,426.7377875647964,7665.441452083742,1
484,490.50755893208736,7852.692436079279,0
485,322.24387764654216,7393.081187159641,0
486,453.83619935055077,7751.267376409153,0
487,267.0020134375943,7236.504747573537,0
488,459.7952923834473,7765.309769345085,0
489,201.17218706380018,7073.698763218669,0
490,309.2610171727855,7341.201548594915,0
491,253.58994905498437,7205.072432106396,0
492,423.86786702749504,7674.968679555936,1
493,331.79027549743,7412.72984718647,0
494,480.499401511088,7837.216876456516,0
495,377.6026533800475,7534.574045601415,0
496,340.1875180940628,7438.107997020115,0
497,484.0597250148291,7847.141399743211,0
498,384.7425521599976,7563.389970600015,0
499,515.4237603771314,7947.977486044398,0
500,336.6920069558788,7419.3074611275,0
