time_s,delta_r_m,log_delta_r
190.407422285,625.562465423,6.43865118971
190.706805025,627.756500779,6.44215235367
191.006187764,629.950668857,6.44564151292
191.305570504,632.144977187,6.44911876212
191.604953243,634.339423127,6.45258417889
191.904335983,636.534001174,6.45603783554
192.203718722,638.728708141,6.45947980733
192.503101461,640.923542556,6.46291017142
192.802484201,643.118502972,6.46632900426
193.10186694,645.313589039,6.4697363832
193.40124968,647.508805667,6.47313239297
193.700632419,649.70415275,6.47651710966
194.000015159,651.899626823,6.47989060348
194.299397898,654.095225722,6.48325294594
194.598780638,656.29094253,6.48660420058
194.898163377,658.486784363,6.48994445168
195.197546116,660.682751125,6.49327377173
195.496928856,662.878842446,6.49659223208
195.796311595,665.075057583,6.49989990283
196.095694335,667.27139587,6.50319685352
196.395077074,669.467858382,6.50648315559
196.694459814,671.66444391,6.50975887639
196.993842553,673.861149513,6.51302408006
197.293225293,676.057972878,6.51627883106
197.592608032,678.254920357,6.519523206
197.891990771,680.451983983,6.5227572597
198.191373511,682.649167834,6.52598106411
198.49075625,684.846471652,6.52919468417
198.79013899,687.043895233,6.53239818426
199.089521729,689.241438385,6.53559162819
199.388904469,691.439100912,6.53877507913
199.688287208,693.636882073,6.5419485989
199.987669947,695.834781464,6.5451122492
200.287052687,698.032798989,6.54826609161
200.586435426,700.230931181,6.55141018232
200.885818166,702.42916331,6.55454456098
201.185200905,704.627503491,6.55766929934
201.484583645,706.825960559,6.56078446948
201.783966384,709.024534067,6.5638901297
202.083349124,711.223223575,6.56698633774
202.382731863,713.422028649,6.57007315085
202.682114602,715.620948894,6.57315062579
202.981497342,717.819984392,6.5762188195
203.280880081,720.019135491,6.57927778873
203.580262821,722.218402319,6.58232758944
203.87964556,724.417783397,6.58536827485
204.1790283,726.617290995,6.58839991663
204.478411039,728.816910358,6.59142254869
